2025-07-12 03:36:03,307 - INFO - >> Received scrape/start request
2025-07-12 03:36:03,310 - INFO - >> Scraper scheduled
2025-07-12 03:36:03,320 - INFO -  run_scraper() called
2025-07-12 03:36:03,322 - INFO -  Starting Telegram Scraper
2025-07-12 03:36:03,327 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-07-12 03:36:03,571 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-07-12 03:36:04,801 - INFO -  Scraping lobelia4cosmetics...
2025-07-12 03:37:51,605 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:37:53,455 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:37:55,189 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:37:56,930 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:37:58,620 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:00,522 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:02,120 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:03,796 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:05,558 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:07,337 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:08,938 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:10,228 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:11,663 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:13,266 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:14,736 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:16,382 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:17,814 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:19,241 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:20,675 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:22,330 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:23,963 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:25,604 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:27,236 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:29,499 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:30,715 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:31,941 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:33,370 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:35,014 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:36,443 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:37,876 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:40,031 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:41,466 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:43,317 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:44,735 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:46,174 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:38:48,031 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:39:02,905 - INFO - Got difference for account updates
2025-07-12 03:42:11,069 - INFO -  Done lobelia4cosmetics - 300 msgs, 100 images.
2025-07-12 03:42:21,080 - INFO -  Scraping tikvahpharma...
2025-07-12 03:42:22,979 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:42:25,098 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:42:26,854 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:42:29,895 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:42:33,074 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:42:37,914 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:42:42,765 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:42:44,889 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:42:48,708 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:42:53,823 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:02,533 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:04,828 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:15,793 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:17,944 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
