image_path,message_id,detected_object_class,confidence_score
data/raw/telegram_media/2025-07-12/tikvahpharma/171944.jpg,171944,person,0.6448231339454651
data/raw/telegram_media/2025-07-12/tikvahpharma/171944.jpg,171944,person,0.5713095664978027
data/raw/telegram_media/2025-07-12/tikvahpharma/171944.jpg,171944,person,0.5155988335609436
data/raw/telegram_media/2025-07-12/tikvahpharma/171944.jpg,171944,person,0.49987342953681946
data/raw/telegram_media/2025-07-12/tikvahpharma/171944.jpg,171944,person,0.4912542700767517
data/raw/telegram_media/2025-07-12/tikvahpharma/171944.jpg,171944,person,0.3793177604675293
data/raw/telegram_media/2025-07-12/tikvahpharma/171944.jpg,171944,person,0.3108402192592621
data/raw/telegram_media/2025-07-12/tikvahpharma/171900.jpg,171900,person,0.8608728051185608
data/raw/telegram_media/2025-07-12/tikvahpharma/171950.jpg,171950,bottle,0.6058730483055115
data/raw/telegram_media/2025-07-12/tikvahpharma/171950.jpg,171950,tv,0.4245885908603668
data/raw/telegram_media/2025-07-12/tikvahpharma/171950.jpg,171950,bottle,0.298277348279953
data/raw/telegram_media/2025-07-12/tikvahpharma/172044.jpg,172044,chair,0.563970685005188
data/raw/telegram_media/2025-07-12/tikvahpharma/172044.jpg,172044,suitcase,0.34371185302734375
data/raw/telegram_media/2025-07-12/tikvahpharma/172044.jpg,172044,tv,0.33851349353790283
data/raw/telegram_media/2025-07-12/tikvahpharma/172044.jpg,172044,airplane,0.2637547552585602
data/raw/telegram_media/2025-07-12/tikvahpharma/172059.jpg,172059,person,0.8229305148124695
data/raw/telegram_media/2025-07-12/tikvahpharma/172059.jpg,172059,snowboard,0.2572723925113678
data/raw/telegram_media/2025-07-12/tikvahpharma/171960.jpg,171960,person,0.25103873014450073
data/raw/telegram_media/2025-07-12/tikvahpharma/171935.jpg,171935,person,0.6161847710609436
data/raw/telegram_media/2025-07-12/tikvahpharma/171904.jpg,171904,person,0.750185489654541
data/raw/telegram_media/2025-07-12/tikvahpharma/171789.jpg,171789,kite,0.33828267455101013
data/raw/telegram_media/2025-07-12/tikvahpharma/171789.jpg,171789,book,0.2950291335582733
data/raw/telegram_media/2025-07-12/tikvahpharma/171834.jpg,171834,airplane,0.48993030190467834
data/raw/telegram_media/2025-07-12/tikvahpharma/171834.jpg,171834,refrigerator,0.30183088779449463
data/raw/telegram_media/2025-07-12/tikvahpharma/171834.jpg,171834,book,0.2988181710243225
data/raw/telegram_media/2025-07-12/tikvahpharma/171835.jpg,171835,cell phone,0.5364065766334534
data/raw/telegram_media/2025-07-12/tikvahpharma/171863.jpg,171863,person,0.632412314414978
data/raw/telegram_media/2025-07-12/tikvahpharma/171863.jpg,171863,person,0.5791864991188049
data/raw/telegram_media/2025-07-12/tikvahpharma/171863.jpg,171863,person,0.4253826141357422
data/raw/telegram_media/2025-07-12/tikvahpharma/171902.jpg,171902,remote,0.7706025242805481
